id,genre
1000160,Thriller
1000160,Drama
1000160,Crime
1000160,Action
1000161,Romance
1000161,Comedy
1000162,Romance
1000162,Drama
1000164,Action
1000164,Science Fiction
1000164,Adventure
1000165,Drama
1000165,Romance
1000166,Thriller
1000166,Mystery
1000166,Drama
1000166,Action
1000167,Action
1000167,Thriller
1000168,Science Fiction
1000168,Adventure
1000168,Action
1000169,Adventure
1000169,Fantasy
1000170,Crime
1000170,Action
1000170,Drama
1000171,Action
1000171,Adventure
1000171,Science Fiction
1000172,Fantasy
1000172,Adventure
1000173,Science Fiction
1000173,Drama
1000173,Mystery
1000175,Drama
1000175,Mystery
1000175,Horror
1000176,Adventure
1000176,Science Fiction
1000176,Action
1000177,Drama
1000177,Music
1000180,Romance
1000180,Comedy
1000182,Mystery
1000182,Thriller
1000182,Horror
1000183,Comedy
1000183,Drama
1000184,Drama
1000184,Comedy
1000184,Romance
1000185,Romance
1000185,Music
1000185,Drama
1000187,Fantasy
1000187,Adventure
1000188,Science Fiction
1000188,Adventure
1000188,Action
1000189,Adventure
1000189,Fantasy
1000189,Animation
1000190,Science Fiction
1000190,Drama
1000192,Animation
1000192,Adventure
1000192,Fantasy
1000193,Horror
1000193,Thriller
1000194,Drama
1000195,Thriller
1000195,Drama
1000195,Mystery
1000196,Family
1000196,Animation
1000197,Action
1000197,Fantasy
1000197,Comedy
1000199,Crime
1000199,Thriller
1000199,Drama
1000200,Action
1000200,Adventure
1000200,Science Fiction
1000203,Thriller
1000203,Horror
1000204,Crime
1000204,Drama
1000204,Thriller
1000204,Comedy
1000205,Adventure
1000205,Fantasy
1000206,Drama
1000206,Science Fiction
1000206,Adventure
1000207,Action
1000207,Adventure
1000207,Comedy
1000208,Comedy
1000208,Romance
1000209,Thriller
1000209,Animation
1000210,Mystery
1000210,Horror
1000210,Comedy
1000211,Drama
1000211,Comedy
1000211,Romance
1000212,Romance
1000212,Drama
1000213,Family
1000213,Adventure
1000213,Comedy
1000213,Animation
1000213,Fantasy
1000214,Adventure
1000214,Action
1000214,Science Fiction
1000216,Romance
1000216,Comedy
1000216,Drama
1000217,Romance
1000217,Drama
1000217,Fantasy
1000218,Animation
1000218,Comedy
1000218,Family
1000218,Fantasy
1000219,History
1000219,Drama
1000220,Thriller
1000220,Mystery
1000220,Horror
1000221,Science Fiction
1000221,Action
1000221,Adventure
1000222,Comedy
1000222,Romance
1000223,Action
1000223,Science Fiction
1000223,Adventure
1000224,Mystery
1000224,Drama
1000224,Thriller
1000225,Crime
1000225,Comedy
1000228,Drama
1000228,Comedy
1000230,Adventure
1000230,Fantasy
1000231,Adventure
1000231,Fantasy
1000231,Action
1000232,Science Fiction
1000232,Action
1000232,Adventure
1000233,Fantasy
1000233,Adventure
1000234,Romance
1000234,Drama
1000234,Comedy
1000235,History
1000235,Drama
1000236,Adventure
1000236,Science Fiction
1000236,Action
1000238,Romance
1000238,Drama
1000240,Action
1000240,Comedy
1000240,Crime
1000241,Thriller
1000241,Action
1000241,Crime
1000243,Fantasy
1000243,Adventure
1000243,Action
1000245,Science Fiction
1000245,Adventure
1000245,Action
1000246,Drama
1000246,Crime
1000247,Drama
1000247,Science Fiction
1000247,Action
1000248,History
1000248,Drama
1000248,War
1000249,Adventure
1000249,Science Fiction
1000249,Action
1000250,History
1000250,Drama
1000250,Music
1000251,Western
1000251,Adventure
1000251,Drama
1000253,Drama
1000253,Comedy
1000253,History
1000253,Crime
1000254,Science Fiction
1000254,Action
1000254,Adventure
1000255,Drama
1000256,Adventure
1000256,Science Fiction
1000256,Action
1000258,Fantasy
1000258,Drama
1000258,Romance
1000259,Romance
1000259,Drama
1000261,Thriller
1000261,Drama
1000261,Mystery
1000263,Fantasy
1000263,Romance
1000263,Drama
1000264,Adventure
1000264,Family
1000264,Fantasy
1000264,Comedy
1000264,Animation
1000265,Horror
1000265,Mystery
1000266,Action
1000266,Comedy
1000266,Adventure
1000267,Horror
1000267,Comedy
1000269,Comedy
1000269,Animation
1000269,Family
1000270,Drama
1000271,Drama
1000272,Mystery
1000272,Western
1000272,Drama
1000273,Romance
1000273,Drama
1000274,Animation
1000274,Comedy
1000274,Family
1000274,Adventure
1000275,Drama
1000275,Romance
1000276,Family
1000276,Comedy
1000276,Fantasy
1000276,Animation
1000277,Comedy
1000279,Adventure
1000279,Action
1000279,Science Fiction
1000280,Comedy
1000280,Animation
1000280,Adventure
1000282,Action
1000282,Science Fiction
1000282,Adventure
